mark,group,bin,position_bp,epi_marg
H3K4me3,HEK293T G4+ enhancer,17,175.0,0.01333722472190857
H3K4me3,HEK293T G4+ enhancer,18,185.0,0.01993991807103157
H3K4me3,HEK293T G4+ enhancer,19,195.0,0.01729193516075611
H3K4me3,HEK293T G4+ enhancer,20,205.0,0.01003953441977501
H3K4me3,HEK293T G4+ enhancer,21,215.0,0.007447319105267525
H3K4me3,HEK293T G4+ enhancer,22,225.0,0.006627995986491442
H3K4me3,HEK293T G4+ enhancer,23,235.0,0.005696478299796581
H3K4me3,HEK293T G4+ enhancer,24,245.0,0.005505470559000969
H3K4me3,HEK293T G4+ enhancer,25,255.0,0.0054999482817947865
H3K4me3,HEK293T G4+ enhancer,26,265.0,0.0049909125082194805
H3K4me3,HEK293T G4+ enhancer,27,275.0,0.003440623637288809
H3K4me3,HEK293T G4+ enhancer,28,285.0,0.003017650917172432
H3K4me3,HEK293T G4+ enhancer,29,295.0,0.003281428012996912
H3K4me3,HEK293T G4+ enhancer,30,305.0,0.0035815152805298567
H3K4me3,HEK293T G4+ enhancer,31,315.0,0.0036751837469637394
H3K4me3,HEK293T G4+ enhancer,32,325.0,0.004966292064636946
H3K4me3,HEK293T G4+ enhancer,33,335.0,0.00857312697917223
H3K4me3,HEK293T G4+ enhancer,34,345.0,0.006282795686274767
H3K4me3,HEK293T G4+ enhancer,35,355.0,0.0033453949727118015
H3K4me3,HEK293T G4+ enhancer,36,365.0,0.0025301009882241488
H3K4me3,HEK293T G4+ enhancer,37,375.0,0.002617128426209092
H3K4me3,HEK293T G4+ enhancer,38,385.0,0.003779672086238861
H3K4me3,HEK293T G4+ enhancer,39,395.0,0.006103960331529379
H3K4me3,HEK293T G4+ enhancer,40,405.0,0.008667360059916973
H3K4me3,HEK293T G4+ enhancer,41,415.0,0.006526830140501261
H3K4me3,HEK293T G4+ enhancer,42,425.0,0.007664475589990616
H3K4me3,HEK293T G4+ enhancer,43,435.0,0.010661116801202297
H3K4me3,HEK293T G4+ enhancer,44,445.0,0.011146092787384987
H3K4me3,HEK293T G4+ enhancer,45,455.0,0.015154015272855759
H3K4me3,HEK293T G4+ enhancer,46,465.0,0.020854663103818893
H3K4me3,HEK293T G4+ enhancer,47,475.0,0.024362124502658844
H3K4me3,HEK293T G4+ enhancer,48,485.0,0.025534406304359436
H3K4me3,HEK293T G4+ enhancer,49,495.0,0.029769353568553925
H3K4me3,HEK293T G4+ enhancer,50,505.0,0.043983861804008484
H3K4me3,HEK293T G4+ enhancer,51,515.0,0.05916132032871246
H3K4me3,HEK293T G4+ enhancer,52,525.0,0.04100707545876503
H3K4me3,HEK293T G4+ enhancer,53,535.0,0.02471744269132614
H3K4me3,HEK293T G4+ enhancer,54,545.0,0.016628216952085495
H3K4me3,HEK293T G4+ enhancer,55,555.0,0.009335923939943314
H3K4me3,HEK293T G4+ enhancer,56,565.0,0.00578306894749403
H3K4me3,HEK293T G4+ enhancer,57,575.0,0.006275555584579706
H3K4me3,HEK293T G4+ enhancer,58,585.0,0.00996809359639883
H3K4me3,HEK293T G4+ enhancer,59,595.0,0.006132687907665968
H3K4me3,HEK293T G4+ enhancer,60,605.0,0.0023958568926900625
H3K4me3,HEK293T G4+ enhancer,61,615.0,0.001654881052672863
H3K4me3,HEK293T G4+ enhancer,62,625.0,0.001830252236686647
H3K4me3,HEK293T G4+ enhancer,63,635.0,0.001996543724089861
H3K4me3,HEK293T G4+ enhancer,64,645.0,0.0026198977138847113
H3K4me3,HEK293T G4+ enhancer,65,655.0,0.005430461838841438
H3K4me3,HEK293T G4+ enhancer,66,665.0,0.005154224578291178
H3K4me3,HEK293T G4+ enhancer,67,675.0,0.0038871087599545717
H3K4me3,HEK293T G4+ enhancer,68,685.0,0.00373563589528203
H3K4me3,HEK293T G4+ enhancer,69,695.0,0.0036623766645789146
H3K4me3,HEK293T G4+ enhancer,70,705.0,0.0038428199477493763
H3K4me3,HEK293T G4+ enhancer,71,715.0,0.0049205198884010315
H3K4me3,HEK293T G4+ enhancer,72,725.0,0.005018819589167833
H3K4me3,HEK293T G4+ enhancer,73,735.0,0.004901492968201637
H3K4me3,HEK293T G4+ enhancer,74,745.0,0.005882441997528076
H3K4me3,HEK293T G4+ enhancer,75,755.0,0.0077692605555057526
H3K4me3,HEK293T G4+ enhancer,76,765.0,0.008722653612494469
H3K4me3,HEK293T G4+ enhancer,77,775.0,0.007358417380601168
H3K4me3,HEK293T G4+ enhancer,78,785.0,0.006110280752182007
H3K4me3,HEK293T G4+ enhancer,79,795.0,0.006010296288877726
H3K4me3,HEK293T G4+ enhancer,80,805.0,0.00713371392339468
H3K4me3,HEK293T G4+ enhancer,81,815.0,0.007755298633128405
H3K4me3,HEK293T G4+ enhancer,82,825.0,0.008236698806285858
H3K4me3,HEK293T G4+ enhancer,83,835.0,0.010492422617971897
H3K4me3,HEK293T G4+ enhancer,84,845.0,0.007046032696962357
H3K4me3,HEK293T G4+ enhancer,85,855.0,0.00610550818964839
H3K4me3,HEK293T G4+ enhancer,86,865.0,0.00905006192624569
H3K4me3,HEK293T G4+ enhancer,87,875.0,0.011500231921672821
H3K4me3,HEK293T G4+ enhancer,88,885.0,0.009396977722644806
H3K4me3,HEK293T G4+ enhancer,89,895.0,0.00770663982257247
H3K4me3,HEK293T G4+ enhancer,90,905.0,0.01009366661310196
H3K4me3,HEK293T G4+ enhancer,91,915.0,0.015478118322789669
H3K4me3,HEK293T G4+ enhancer,92,925.0,0.011601927690207958
H3K4me3,HEK293T G4+ enhancer,93,935.0,0.013588419184088707
H3K4me3,HEK293T G4+ enhancer,94,945.0,0.015082869678735733
H3K4me3,HEK293T G4+ enhancer,95,955.0,0.012866854667663574
H3K4me3,HEK293T G4+ enhancer,96,965.0,0.010612273588776588
H3K4me3,HEK293T G4+ enhancer,97,975.0,0.010277560912072659
H3K4me3,HEK293T G4+ enhancer,98,985.0,0.01475862879306078
H3K4me3,HEK293T G4+ enhancer,99,995.0,0.039323512464761734
H3K4me3,A549 G4-,0,5.0,0.006707619410008192
H3K4me3,A549 G4-,1,15.0,0.0033637508749961853
H3K4me3,A549 G4-,2,25.0,0.0014947078889235854
H3K4me3,A549 G4-,3,35.0,0.0008400913793593645
H3K4me3,A549 G4-,4,45.0,0.0007654316141270101
H3K4me3,A549 G4-,5,55.0,0.0008832649909891188
H3K4me3,A549 G4-,6,65.0,0.0011358336778357625
H3K4me3,A549 G4-,7,75.0,0.0018025358440354466
H3K4me3,A549 G4-,8,85.0,0.003299406263977289
H3K4me3,A549 G4-,9,95.0,0.005104247946292162
H3K4me3,A549 G4-,10,105.0,0.01660817675292492
H3K4me3,A549 G4-,11,115.0,0.03742776811122894
H3K4me3,A549 G4-,12,125.0,0.022505877539515495
H3K4me3,A549 G4-,13,135.0,0.006302810274064541
H3K4me3,A549 G4-,14,145.0,0.005146858282387257
H3K4me3,A549 G4-,15,155.0,0.018019212409853935
